data,بدون_تشكيل,tag,المحذوف,root,تصنيف_الجذر
بِسْمِ,بسم,,,بسم,جذر
اللَّهِ,,اسم,اللَّهِ,,
الرَّحْمَٰنِ,,اسم,الرَّحْمَٰنِ,لحم,جذر
الرَّحِيمِ,,اسم,الرَّحِيمِ,لحم,جذر
الْحَمْدُ,الحمد,اسم,الْحَمْدُ,حمد,جذر
لِلَّهِ,,اسم,لله,,
رَبِّ,رب,,,,
الْعَالَمِينَ,العالمين,اسم,الْعَالَمِينَ,علم,جذر
الرَّحْمَٰنِ,,اسم,الرَّحْمَٰنِ,لحم,جذر
الرَّحِيمِ,,اسم,الرَّحِيمِ,لحم,جذر
مَالِكِ,مالك,,,ملك,جذر
يَوْمِ,يوم,,,,
الدِّينِ,الدين,اسم,الدِّينِ,لدن,جذر
إِيَّاكَ,,اسم,اياك,,
نَعْبُدُ,نعبد,,,عبد,جذر
,واياك,حرف,وَإِيَّاكَ,,
نَسْتَعِينُ,نستعين,,,تعي,جذر
اهْدِنَا,اهدنا,,,هدن,جذر
الصِّرَاطَ,الصراط,اسم,الصِّرَاطَ,,
الْمُسْتَقِيمَ,المستقيم,اسم,الْمُسْتَقِيمَ,تيم,جذر
صِرَاطَ,صراط,,,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
أَنْعَمْتَ,انعمت,,,عمت,جذر
,عليهم,حرف_جر,عَلَيْهِمْ,,
,غير,اسم,غَيْرِ,,
الْمَغْضُوبِ,المغضوب,اسم,الْمَغْضُوبِ,ضوب,جذر
,عليهم,حرف_جر,عَلَيْهِمْ,,
,ولا,اسم,وَلَا,,
الضَّالِّينَ,الضالين,اسم,الضَّالِّينَ,لين,جذر
بِسْمِ,بسم,,,بسم,جذر
اللَّهِ,,اسم,اللَّهِ,,
الرَّحْمَٰنِ,,اسم,الرَّحْمَٰنِ,لحم,جذر
الرَّحِيمِ,,اسم,الرَّحِيمِ,لحم,جذر
الم,الم,,,,
ذَٰلِكَ,,اسم,ذلك,,
الْكِتَابُ,الكتاب,اسم,الْكِتَابُ,كتب,جذر
,لا,حرف,لَا,,
رَيْبَ,ريب,,,ريب,جذر
,فيه,حرف_جر,فِيهِ,,
,هدي,اسم,هُدًى,,
لِلْمُتَّقِينَ,للمتقين,,,قين,جذر
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
يُؤْمِنُونَ,يومنون,,,منن,جذر
بِالْغَيْبِ,بالغيب,,,بغي,جذر
وَيُقِيمُونَ,ويقيمون,,,قمن,جذر
الصَّلَاةَ,,اسم,الصَّلَاةَ,,
,ومما,حرف_جر,وَمِمَّا,,
,رزقناهم,اسم,رَزَقْنَاهُمْ,,
يُنْفِقُونَ,ينفقون,,,فقو,جذر
وَالَّذِينَ,,اسم,والذين,لذي,جذر
يُؤْمِنُونَ,يومنون,,,منن,جذر
,بما,حرف_جر,بِمَا,,
,انزل,اسم,أُنْزِلَ,,
إِلَيْكَ,,اسم,اليك,,
,وما,حرف,وَمَا,,
أُنْزِلَ,انزل,,,نزل,جذر
,,فعل,مِنْ,,
قَبْلِكَ,قبلك,,,بلك,جذر
وَبِالْآخِرَةِ,وبالاخره,,,بخر,جذر
هُمْ,,اسم,هم,,
يُوقِنُونَ,يوقنون,,,قنن,جذر
أُولَٰئِكَ,,اسم,اوليك,,
,علي,حرف_جر,عَلَىٰ,,
,هدي,اسم,هُدًى,,
,,فعل,مِنْ,,
رَبِّهِمْ,ربهم,,,,
وَأُولَٰئِكَ,,اسم,واوليك,,
هُمُ,,اسم,هم,,
الْمُفْلِحُونَ,المفلحون,اسم,الْمُفْلِحُونَ,فحو,جذر
,ان,حرف,إِنَّ,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
كَفَرُوا,كفروا,,,كرو,جذر
,None,اسم,سَوَاءٌ,,
,عليهم,حرف_جر,عَلَيْهِمْ,,
,اانذرتهم,اسم,أَأَنْذَرْتَهُمْ,,
,ام,حرف,أَمْ,,
,,فعل,لَمْ,,
تُنْذِرْهُمْ,تنذرهم,,,تره,جذر
,لا,حرف,لَا,,
يُؤْمِنُونَ,يومنون,,,منن,جذر
,ختم,فعل,,,
اللَّهُ,,اسم,اللَّهُ,,
,علي,حرف_جر,عَلَىٰ,,
,قلوبهم,اسم,قُلُوبِهِمْ,,
,وعلي,حرف_جر,وَعَلَىٰ,,
