data,بدون_تشكيل,tag,المحذوف,pattern,word_type,pattern_score
بِسْمِ,بسم,,,استفعل,فعل,1.0
اللَّهِ,,اسم,اللَّهِ,لفظ_الجلالة,اسم,1.0
الرَّحْمَٰنِ,,اسم,الرَّحْمَٰنِ,,,0.0
الرَّحِيمِ,,اسم,الرَّحِيمِ,صفة_الله,اسم,1.0
الْحَمْدُ,الحمد,اسم,الْحَمْدُ,,,0.0
لِلَّهِ,,اسم,لله,,,0.0
رَبِّ,رب,,,,,0.0
الْعَالَمِينَ,العالمين,اسم,الْعَالَمِينَ,أفعال,اسم,1.0
الرَّحْمَٰنِ,,اسم,الرَّحْمَٰنِ,,,0.0
الرَّحِيمِ,,اسم,الرَّحِيمِ,صفة_الله,اسم,1.0
مَالِكِ,مالك,,,فعل,فعل,1.0
يَوْمِ,يوم,,,يفعل,فعل,1.0
الدِّينِ,الدين,اسم,الدِّينِ,,,0.0
إِيَّاكَ,,اسم,اياك,تَفاعَل,فعل,1.0
نَعْبُدُ,نعبد,,,فعل,فعل,1.0
,واياك,حرف,وَإِيَّاكَ,,,0.0
نَسْتَعِينُ,نستعين,,,افتعل,فعل,1.0
اهْدِنَا,اهدنا,,,افتعل,فعل,1.0
الصِّرَاطَ,الصراط,اسم,الصِّرَاطَ,افتعال,اسم,0.6666666666666666
الْمُسْتَقِيمَ,المستقيم,اسم,الْمُسْتَقِيمَ,,,0.0
صِرَاطَ,صراط,,,تَفاعَل,فعل,1.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
أَنْعَمْتَ,انعمت,,,فاعَل,فعل,1.0
,عليهم,حرف_جر,عَلَيْهِمْ,,,0.0
,غير,اسم,غَيْرِ,,,0.0
الْمَغْضُوبِ,المغضوب,اسم,الْمَغْضُوبِ,,,0.0
,عليهم,حرف_جر,عَلَيْهِمْ,,,0.0
,ولا,اسم,وَلَا,,,0.0
الضَّالِّينَ,الضالين,اسم,الضَّالِّينَ,افتعل,فعل,1.0
بِسْمِ,بسم,,,استفعل,فعل,1.0
اللَّهِ,,اسم,اللَّهِ,لفظ_الجلالة,اسم,1.0
الرَّحْمَٰنِ,,اسم,الرَّحْمَٰنِ,,,0.0
الرَّحِيمِ,,اسم,الرَّحِيمِ,صفة_الله,اسم,1.0
الم,الم,,,,,0.0
ذَٰلِكَ,,اسم,ذلك,فعل,فعل,1.0
الْكِتَابُ,الكتاب,اسم,الْكِتَابُ,,,0.0
,لا,حرف,لَا,,,0.0
رَيْبَ,ريب,,,,,0.0
,فيه,حرف_جر,فِيهِ,,,0.0
,هدي,اسم,هُدًى,,,0.0
لِلْمُتَّقِينَ,للمتقين,,,,,0.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
يُؤْمِنُونَ,يومنون,,,يفعل,فعل,1.0
بِالْغَيْبِ,بالغيب,,,فعل,فعل,1.0
وَيُقِيمُونَ,ويقيمون,,,تفعيل,فعل,1.0
الصَّلَاةَ,,اسم,الصَّلَاةَ,تَفَعَّل,فعل,1.0
,ومما,حرف_جر,وَمِمَّا,,,0.0
,رزقناهم,اسم,رَزَقْنَاهُمْ,,,0.0
يُنْفِقُونَ,ينفقون,,,انفعل,فعل,1.0
وَالَّذِينَ,,اسم,والذين,فعل,فعل,1.0
يُؤْمِنُونَ,يومنون,,,يفعل,فعل,1.0
,بما,حرف_جر,بِمَا,,,0.0
,انزل,اسم,أُنْزِلَ,,,0.0
إِلَيْكَ,,اسم,اليك,,,0.0
,وما,حرف,وَمَا,,,0.0
أُنْزِلَ,انزل,,,فاعَل,فعل,1.0
,,فعل,مِنْ,,,0.0
قَبْلِكَ,قبلك,,,فعل,فعل,1.0
وَبِالْآخِرَةِ,وبالاخره,,,تَفَعَّل,فعل,1.0
هُمْ,,اسم,هم,,,0.0
يُوقِنُونَ,يوقنون,,,يفعل,فعل,1.0
أُولَٰئِكَ,,اسم,اوليك,فعل,فعل,1.0
,علي,حرف_جر,عَلَىٰ,,,0.0
,هدي,اسم,هُدًى,,,0.0
,,فعل,مِنْ,,,0.0
رَبِّهِمْ,ربهم,,,,,0.0
وَأُولَٰئِكَ,,اسم,واوليك,فعول,اسم,1.1
هُمُ,,اسم,هم,,,0.0
الْمُفْلِحُونَ,المفلحون,اسم,الْمُفْلِحُونَ,افتعل,فعل,0.6666666666666666
,ان,حرف,إِنَّ,,,0.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
كَفَرُوا,كفروا,,,مفعول,اسم,1.1
,None,اسم,سَوَاءٌ,,,0.0
,عليهم,حرف_جر,عَلَيْهِمْ,,,0.0
,اانذرتهم,اسم,أَأَنْذَرْتَهُمْ,,,0.0
